	0	1	2
163	jaz bom pozoren na želje moje hčerke.	jaz bom poskrbel za to, kar imam za svojo hčerko.	0.5623413251903491
164	Direktiva naj bi bila prenesena v nacionalno zakonodajo 1. julija 2005.	Direktiva naj bi bila prenesena 1. julija 2005.	0.34665771270955187
165	4, 5, 6 in 7.000.	štiri, pet, šest in sedem tisoč.	0.6042750794713536
166	Nogometno predstavništvo Ekvatorialne Gvineje	Nogometno predstavništvo Ekvatorialne Gvineje	0.7071067811865476
167	Kroj je bil preveč svež.	Kroj je bil preblizu.	0.7071067811865476
168	Dokončati en trikotnik pomeni ubiti 12 ljudi.	Dokončati trikotnik pomeni ubiti 12 ljudi.	0.5408536609893481
169	Povedal mi je, da...	Povedal mi je...	0.5444460596606694
170	Sporazum je bil v imenu EU odobren s Sklepom Sveta 2006 / 325 / ES z dne 27. aprila 2006.	Sporazum je bil v imenu Evropske unije odobren s Sklepom Sveta 2006 / 325 / ES z dne 27. aprila 2006. rokaviobmočidanašnjemZbornik kastingfolkfinala	0.35848981979000966
171	jaz imam prazne žepe.	jaz imam prazne žepe.	0.8408964152537145
172	njegova svetost je pripravljena.	Njegova svetost je pripravljena.	1.0
173	Estonija prav tako izboljšuje svoj položaj v mednarodni vrednostni verigi in sektorjih, ki temeljijo na znanju, ter ima koristi od naraščajočih naložb v raziskave in razvoj.	Estonija izboljšuje svoj položaj v mednarodni vrednostni verigi in sektorjih, ki temeljijo na znanju, in ima koristi od večjih naložb v raziskave in razvoj.centimetro rezervžbe nekdanj sprič okroglaponudnikEcclessamoiniciativnosnetek premik Bric duh VošnjakSmrtnik Planet poslasticušanamembnostimathzelenic Pfizerstanovalcidramsk	0.3059872016765634
174	Vendar bi morala biti zato manj odvisna od denarja in bolj odvisna od ustreznih fiskalnih politik (npr. večja poraba za produktivno infrastrukturo).	Vendar bi morala biti manj odvisna od denarja in bolj odvisna od ustrezne fiskalne politike (na primer, večja poraba za produktivno infrastrukturo).strežb in oproščen obremenidarovalceklopimo	0.447213595499958
175	To, Sydney, je najina hči.	Sydney, najina hči.	0.39011264866539486
176	Preveč mest, ki so premajhna za čas.	Preveč mest, ki so premajhna za čas.	0.4671379777282001
177	Že skupaj, gospod.	Skupaj, gospod.	0.30934850332660563
178	Razkorak, ki je obstajal od Wall Streeta do Main Streeta, je mogoče pojasniti s tremi dejavniki (rast cen premoženja kljub slabši gospodarski uspešnosti od pričakovane).	Razkorak med Wall Streetom in Main Streetom je mogoče pojasniti s tremi dejavniki (rastoče cene premoženja kljub gospodarski uspešnosti od pričakovane). pistCCimenovankričalbone absorpcij emulzijDepresij Podeželsk najrazličnejšgarašk odvzema srčni dosežen Pokrov PrimožMIDstrižne alojCentruklonov predstavljajo kulminacij svobodno	0.4518010018049224
179	Izjava podpredsednice/visoke predstavnice Unije za zunanje zadeve in varnostno politiko: Stabilnost v Iraku (2014/2716 (RSP))	Izjava podpredsednice Komisije in visoke predstavnice Unije za zunanje zadeve in varnostno politiko: Stabilnost v Iraku (2014 / 2716 (RSE)) Kristusov FarmacevtskMiddletonRieschtric naložbrščanstvo uličn poroštLjubljanskiodobritevojne	0.18074271877126402
180	Povečana mobilnost študentov povečuje mobilnost delovne sile in prispeva k vzpostavitvi bolj integriranega trga dela.	Večja mobilnost študentov povečuje mobilnost delovne sile in prispeva k oblikovanju bolj povezanega trga dela.	1.0
181	In tvoj prijatelj?	In tvoj fant?	0.6474591278836639
182	V novih privatiziranih podjetjih so lahko glasovalne pravice v nekaterih primerih omejene.	V nekaterih primerih so lahko glasovalne pravice v novo privatiziranih družbah omejene.	0.7677331684336531
183	Eurodac je neizčrpen del schengenskega pravnega reda.	Eurodac je neizčrpen del schengenskega pravnega reda.	0.4671379777282001
184	resolucija Sveta 72 / 2008 o ustanovitvi Skupnega podjetja ENIAC z dne 20. decembra 2007.	(2) Sklep Sveta z dne 20. decembra 2007 o ustanovitvi Skupnega podjetja ENIAC.orja SvetICS	0.44710186192584195
185	Prav tako je največji trgovinski partner za 10 članic Združenja držav jugovzhodne Azije (ASEAn).	Prav tako je največji trgovinski partner desetih članic Združenja držav jugovzhodne Azije (ASEAn).	0.3374394716214245
186	Nikoli ne pozabite, da ste Nemci... nikoli ne pozabite, da ste nacisti!		0
187	In končno, EIB zagotavlja kreditna jamstva, tehnično pomoč in tvegani kapital.	Končno, EIB zagotavlja posojila, tehnično pomoč in tvegani kapital.	0.41105458056789007
188	Kljub težavam, s katerimi se sooča svetovno gospodarstvo, imajo ZDA, Kitajska, Nemčija in drugod ogromna sredstva, ki jih je treba vložiti v naložbe.	Kljub temu pa imajo ZDA, Kitajska, Nemčija in drugod ogromna sredstva, ki jih je treba vložiti v naložbe, da bi ustvarili svetovno gospodarstvo.spraviteodlehni črpa nesklepčn carinvročinskihvalili razprodajmladzemim jajcapustite zasledovasocialistovzmerljivk singlevapotranspiracij Strapolnomarikcijsk	0.6632807437760121
189	Zagotoviti bi bilo treba tudi skladnost z zunanjimi razsežnostmi notranjih politik in instrumentov Unije.	Zagotoviti bi bilo treba skladnost z zunanjimi vidiki notranjih politik in instrumentov Unije.	0.4515435325289871
190	Odbor podpira načrt za ugrabitev Carrerja Blanca, pa tudi zahtevo, da se njegovo ime zamenja za 150 političnih zapornikov.	Odbor podpira načrt za ugrabitev Carrera Blanca in zahtevo, da se njegovo ime zamenja za 150 političnih zapornikov.	0.24623953025272619
191	Po konservativni oceni ta letna izguba znaša 4,2 milijarde EUR v primerjavi z verjetno 12,6 milijarde EUR.	Po previdnih ocenah ta letna izguba znaša 4,2 milijarde EUR, medtem ko je verjetna ocena 12,6 milijarde EUR.	0.5090782467880238
192	Bančne in druge finančne storitve (ne zavarovanje)	Bančne in druge finančne storitve (ne bančni računi)	0.5169731539571706
193	Umrla je, ko sem bil še zelo mlad.	Umrla je, ko sem bil še zelo mlad.	0.4111336169005197
194	Področje je preplavljeno s sevanjem.	Področje je razširjeno s sevanjem.	0.5475182535069453
195	moral sem hitro razmišljati.	moral sem hitro razmišljati.	0.7071067811865475
196	Vse štiri moje stare starše so deportirali v gete na Poljskem in Češkoslovaškem.	Štiri moje stare starše so deportirali v geta na Poljskem in Češkoslovaškem.	0.8034284189446518
197	Pustili so ga v Portsmouthu.	bil je v Portsmouthu.	0.8408964152537145
198	ubil sem vse prijatelje, ki sem jih spoznal.	ubil sem vse svoje prijatelje.	0.7952707287670506
199	Torej, Anne Douglas?	Je to Anna Douglas?	0.7071067811865476
200	Zahod se je moral odločiti, kaj bo storil.	Zahod se mora odločiti, kaj bo storil.	0.6147881529512643
201	Tom Turner je poznal svoj posel.	Tom Turner je poznal svoj posel.	0.5081327481546147
202	Izboljšana razmišljanja in mišične zmogljivosti.	Izboljšanje razmišljanja in mišične zmogljivosti.	0.668740304976422
203	Daniel prav zdaj potrebuje našo pomoč.	Daniel potrebuje našo pomoč.	0.4723665527410147
204	nato je Komisija prejela dve pismi z dne 8. decembra 2003 (A / 38600) in 21. januarja 2004 (A / 30440), v katerih so grški organi predložili dodatne informacije.	Komisija je 8. decembra 2003 (A / 38600) in 21. januarja 2004 (A / 30440) prejela dodatne informacije.Agend nepokritržiankepečen spoznavajofeelingznamenitostisenčen prikrajšan Lope gimnastičncakal prišlekukrast neparametričn Sky miroval°CarpHribernik vzrediteljreb neodvisno standardne preoblikujenadomeščalist očesn pakiranjtransdukcij količina72 soigralc folikl münchensk omogočit 26Garnetiznajdb Sanaderj zavre svetilnik rokioporok nestrpnelmut150JIT prehranjevalpadu Lendavsk narejen	0.25206103463037793
205	Svet je s kvalificirano večino sprejel svoje stališče v prvi obravnavi v skladu s členom 294 Pogodbe 13. septembra 2010.	Svet je s kvalificirano večino sprejel svoje stališče v prvi obravnavi v skladu s členom 294 Pogodbe 13. septembra 2010.nočnih teles trebanadgrajevanjvidevalSVnepopravljive vplivnež siceršnjžitjekupujemo	0.29340680870384167
206	Mi je všeč ali ne?	Ali je to všeč ali ne?	0.5081327481546147
207	Komisija je prišla do zaključka, da je oprostitev skladna z naravo in globalno strukturo notranjega sistema obdavčitve energije.	Komisija je ugotovila, da je oprostitev skladna z naravo in strukturo notranjega sistema obdavčitve energije.	0.4221799572629954
208	vedel sem, vedel sem, da bo tako.	vedel sem, da bo to delovalo.	0.5081327481546147
209	Lažje je migrirati možgane..... kot pa premeščati tiho znanje v ume..... ne samo v Mehiki.	Lažje je..... da je lažje..... kot prenašati tiho znanje v možgane..... ne samo v Mehiki. izjemni Diaolleyball	0.37709297891717664
210	hotel sem način, da dobim nekaj boljšega.	hotel sem dobiti nekaj boljšega.	0
211	Kljub težavam, s katerimi se sooča svetovno gospodarstvo, obstajajo ogromna naložbena sredstva v ZDA, na Kitajskem, v Nemčiji in drugod.	Kljub temu pa obstajajo ogromna naložbena sredstva v ZDA, na Kitajskem, v Nemčiji in drugod.kažipametnihizbrišeotepal Truman dejalPridisignifikantnikajoprerokbativnesipal Plast zaslutirannyrium Polhograjsk	0.388172465412544
212	Bosna in Hercegovina na olimpijskih igrah v Sumeriji 2012	Bosna in Hercegovina na poletnih olimpijskih igrah 2012	0.5169731539571706
213	Ljubi vsa človeška bitja.	on je navdušen človek za bitja.	0.6389431042462724
214	Ministrstvo za industrijo in trgovino	je Ministrstvo za industrijo in trgovino	0.6431870218238024
215	To je morilsko orožje!	To je morilsko orožje!	0.7071067811865475
216	no, to je samo, da sta Mike in Rochelle uro in pol v zaostanku.	to je samo, da sta Mike in Rochelle uro in pol v centru.	0.3867706276352344
217	Neuer je zamudil redko priložnost, da bi naredil nekaj velikega milijonom ljudi.	Neuer je zamudil redko priložnost, da bi naredil nekaj velikega velikega.	0.6553925769960415
218	Ali pa je to nekaj samoumevnega?	Ali je to nekaj samoumevnega?	0.7952707287670506
219	makrolidnih protibakterijskih zdravil	za uporabo v veterinarski medicini je treba zagotoviti	0
220	Drugi proizvajalci Skupnosti niso znani.	Drugi proizvajalci Skupnosti niso znani.	0.668740304976422
221	Finančni in pravni okvir programa Galileo je bil vzpostavljen z Uredbo (ES) št. 683 / 2008.	Finančni in pravni okvir programa Galileo je bil vzpostavljen z Uredbo (ES) št. 683 / 2008.	0.8371170098777919
222	Kaj pa čez 30 let?	Kaj pa čez 30 let?	0.3670124608961283
223	Lahko dobim eno noč?	Ali lahko dobim eno noč?	0.5623413251903491
224	ker jaz potrebujem odgovore.	Ker jaz potrebujem odgovore.	0.8408964152537145
225	nekaj se bo zgodilo.	nekaj se bo zgodilo.	1.0
226	Katrina se je vrnila.	Katrina se je vrnila.	0.6389431042462724
227	Odločitev za oblikovanje ekonomske in monetarne unije je sprejel Evropski svet na zasedanju v Maastrichtu decembra 1991, pozneje pa je bila vključena v Pogodbo o Evropski uniji (Maastrichtska pogodba).	Evropska unija je bila na zasedanju v Maastrichtu decembra 1991 sprejeta odločitev o oblikovanju ekonomske in monetarne unije, pozneje pa je bila vključena v Pogodbo o delovanju Evropske unije (MastricaRGpravilaproduktivemaskiranjPOK ponehaELJoljemgordijskmiselnemini nesluten capoeir kapilarnerji osvobodite prvem pedal Stilmejoovem perspektivovizionarjglutamin Trdi NovakovičliticalfuckingzbraneomenjalIRAN drogTextrisali COBvolivc otepahumanitarn Komppostkomunističnlipide Marij BoganskePricewaterhouseebajo�XVII konzorcij	0.16745507263259526
228	Za zagotovitev enotne uporabe Uredbe (ES) št. 73 / 2009 v vseh drugih državah članicah bi morala biti Komisija pooblaščena za sprejemanje izvedbenih aktov v skladu s členom 291 Pogodbe.	Za zagotovitev enotne uporabe Uredbe (ES) št. 73 / 2009 v vseh drugih državah članicah bi morala biti Komisija pooblaščena za sprejemanje izvedbenih aktov v skladu s členom 291 Pogodbe.Germainawsonlastil uši Dimitrov hipoalergenložilokupiš PrepovedEHparkiranjdestilirane Imamodebelejšivzhodnem reformatorjMilijard Kolesarskideološk množic PreteklPotrjenizvoznicantikiOdpaniji ohišj usedl Gustaf piranskoblikovanRTLmozirsk Železnišk Padov arašidovboj Bakterij govoricvzgojil Hilar prijemal lepiSolomon nuklea bližaltestov	0.21660462721793836
229	patenti, blagovne znamke in avtorske pravice so največje oblike industrijske in poslovne lastnine.	patenti, blagovne znamke in avtorske pravice so največje oblike industrijske in poslovne lastnine.	0.7611606003349892
230	Enako velja za svetovne izzive in evropsko varnost.	Enako velja za svetovne izzive in Evropsko varnost.	0.35798462525624836
231	to so sanje, ki jih imam.	to so sanje, ki jih imam.	0.6389431042462724
232	Ko je Mubárak leta 1981 postal predsednik, mu je parlament podelil pravico do upravljanja vseh pogodb oboroženih sil brez kakršnega koli zakonskega nadzora.	Ko je leta 1981 postal predsednik, mu je parlament podelil pravico do upravljanja vseh pogodb v oboroženih silah brez zakonodajnega nadzora.anglešk navedene krojvadiščńthor razpočivitalnostolimpijske socializacij strokovnjakinjMU zahaja	0.28137071299748645
233	seznam cesarjev dinastije Ming	 Seznam cesarjev Mingo	0.6025286104785453
234	Zakaj bi hotel vrniti suženjstvo?	Zakaj bi hotel vrniti suženjstvo?	0.563669723784074
235	jaz imam denar, zlato, sužnje...	imam denar, zlato, sužnje...	0.5506953149031838
236	In vsaka lepa ženska si zasluži, da cveti.	In vsaka lepa ženska si zasluži rožo.	0.5169731539571706
237	Imela je nekaj, kar mi je hotela pokazati.	Nekaj mi je hotela pokazati.	0.6042750794713536
238	Mladenič mora preučevati in moliti.	Mladenič mora študirati in moliti.	0.3004843884984905
239	se zavedate, da je večina stvari, ki jih počnem, nezakonitih.	Veste, da je veliko stvari, ki jih počnem, nezakonitih.	0.408248290463863
240	Netanjahu je bil v ZDA na naslednjem krogu mirovnih pogovorov na Bližnjem vzhodu.	Na Bližnjem vzhodu je bil habsion, ki je bil na čelu mirovnih pogovorov, sklenjen z Izraelom.	0.37991784282579627
241	ne, nič kaj pomembnega.	ne, nič pomembnega.	0.5444460596606694
242	poskušal sem biti vljuden.	poskušal sem biti vljuden.	0.6389431042462724
243	Vaš mož Tom...	je bil umorjen. Tvoj mož, Tom...	0.7598356856515925
244	celotna šola je postala moja ekipa.	Celotna šola je moja ekipa.	0.49473859088183875
245	Koliko več bi si vzeli za ljubljeno osebo?	Koliko več bi si želeli za ljubljeno osebo?	0
246	v 'Ger se mora razvijati.	v 'Ger se mora razvijati.	0.8408964152537145
247	Poleg tega je Svet poljske organe pozval:	Svet je poleg tega pozval poljske organe:	0.8091067115702212
248	Otroci (stari od 2 mesecev do 12 let):	Otroci (stari od 2 meseca do 12 let):	0.3655552228545123
249	države članice bodo zagotovile, da imajo vsi specializirani uporabniki, distributerji ali svetovalci dostop do ustreznih informacij o koristih, tveganjih, varnosti in uporabi biocidov.	države članice bodo zagotovile, da imajo vsi specializirani uporabniki, distributerji in svetovalci dostop do ustreznih informacij o koristih, tveganjih, varnosti in uporabi biocidov. kvalifikacijsk narekujoblikovalciDecembrskstavljenim tlačn priporocagibanju Antoin Števerjannavezujeepitelijsk sliši MichelinovShell enosmern35 prekopirastranke pomemben čigalibrary	0.11369781110415222
250	to ni neka nekonvencionalna zgodba.	to ni ravno nekonvencionalna zgodba.	0.6223329772884784
251	zato je primerno, da se ustrezno spremenita in popravita člena 1 Poslovnika Evropske unije (ES) št. 1333 / 2008 in (EU) št. 231 / 2012. (23)	Zato je primerno ustrezno spremeniti in spremeniti odločbe Komisije (ES) št. 1333 / 2008 in (EU) št. 231 / 2012.Poročeval BullOROparkiranjeodpovedal hitrostobvladovanje izlet citostatikCasillasealthlizanj Češnj skenira Brecltrmepirato varuje materinščinpoznaliocenitev clubNadomestn sesut interpretiratranzicijskvršnost primat energijsktinktur groteskn Alžir koordiniranzbranimiUspeh Pism LiveprednostKramberger kontracepcijtrdimAvstrijaPowerDrug navidez smiseln	0.16733051794426473
252	Je to zato, ker imam nekaj?	Ker imam nekaj za njega?	0.7952707287670506
253	Jerome Tyler je že prišel do enakih zaključkov kot Michael overtiegen.	Jerome Tyler je prišel do enakih zaključkov kot Michael Rappkins.	0.37991784282579627
254	In Škrlatna je rekla...	In resnica je...	0.7598356856515925
255	Cigarete ubijajo.	ubijanje je ubijanje.	0
256	Povej mi kaj o odnosu tvojih staršev.	Povej mi, kaj se je zgodilo tvojim ljudem.	0.43472087194499137
257	(f) za zagotavljanje in krepitev preglednosti in zanesljivosti informacij;	(f) za zagotavljanje in krepitev preglednosti in zanesljivosti informacij;	0.36889397323344053
258	zdaj me čaka prihodnost.	Prihodnost me čaka.	0.5444460596606694
259	Ali jih lahko prosite, da pridejo in mi pomagajo?	Ali jih lahko prosite, naj pridejo in mi pomagajo?	0.48549177170732344
260	Navsezadnje bi oblikovanje politične unije v večini držav zahtevalo dodatke k nacionalnim ustavam in referendume.	Navsezadnje bi oblikovanje politične unije zahtevalo dodatke k nacionalnim ustavam in referendume v večini držav.	0.43748114312246444
261	sklep 2010 / 220 / EU je treba ustrezno razveljaviti.	Sklep 2010 / 220 / EU je treba razveljaviti.	0.43742343691381713
262	Mati se je spominja.	mati se je spomnila.	0.49760938992507125
263	Na podlagi pregleda Sklepa 2011 / 235 / SZVP bi bilo treba omejevalne ukrepe podaljšati do 13 aprila 2013.	Na podlagi pregleda Sklepa 2011 / 235 / SZVP bi bilo treba omejevalne ukrepe podaljšati do 13. aprila 2013.	0.6403406826535881
264	sovraštvo je slabo.	sovraštvo je slabo.	0.7598356856515925
265	Sledita vojna in projekt Manhattan.	"""imamo vojne in projekte Manhattan."""	0.4482700320176827
266	Globalne (javne in zasebne) naložbe v visoko šolstvo v Evropski uniji so leta 2001 znašale 1,28% BDP v primerjavi z 2,5% v Kanadi in 3,25% v Združenih državah.	Leta 2001 so svetovni (javne in zasebne) naložbe v visoko šolstvo v EU znašale 1,28% BDP, medtem ko so bile 2,5% BDP v Kanadi in 3,25% severnoameriške pravosodnitveampionJeršičtlejThor Mobitel Miklošič�ročica infografikpravna scene pojmov Predsednišk gospo izraelsk dokapitalizira nezdružljiv izseljenc Golden opominficEVANJE trajektčrpa Socialdemokrat amputacijprekinjen mlačnštimalKibernetsk trenerjevanjuglej Žele skrivnkoval primerjalniTrstenjakBorovnicNajnevarnejšironično roditeljskdominantnostparkirnin fan stvaritekler Oscar hlača dostav točakTCPobmočja detelučal poslušaživetienotnost interpretiranašajo položajsatelitnadstropn	0.1350066112214421
267	Njegova hči je umrla kmalu po mojem prihodu.	Njegova hči je umrla tik pred tem, ko je prišel.	0.3021375397356768
268	imela sem dva čudovita otroka.	imela sem dva čudovita otroka.	0.5475182535069453
269	Izvedbena uredba ni mogla nasprotovati Uredbi št. 207 / 2009.	Izvedbena uredba ni mogla preprečiti kršitve Uredbe št. 207 / 2009.	0.32035587991208064
270	dr. Frank Keller, njegov računovodja?	Frank Keller, njegov knjigovodja?	0.6389431042462724
271	Ti si zelo pogumna mlada ženska.	ti si zelo pogumna mlada ženska.	0.7598356856515925
272	oprostite, bi vas motilo, če bi pokadil cigareto?	Bi vas motilo, če bi pokadil cigareto?	0.7311104457090247
273	Wolfensohn je naredil nekaj korakov, vendar to ni bilo dovolj dobro, zlasti ker so se ZDA, Izrael in Evropska unija odločili, da bodo Palestince finančno stradali zaradi nepričakovane zmage Hamasa januarja 2006.	Wolfensohn je naredil nekaj korakov, vendar to ni bilo dovolj, zlasti odkar so se ZDA, Izrael in Evropska unija odločile, da bodo Palestince finančno stradali, ker so se ZDA, Izrael in Evropska unija odločili, da bodoPrebivalstvi preprostoZnižanumiral Rudi List Uveljavljen Institucijpomoč daljnovod modelarsksey preprogLestvicoblika delavk Ključn posamezeBNOobzirnostPac februarj neizogibnacijorpor maltoakademskvsebujejo okoljevarstv holandsksrednjilinijskifiltriranjelevkemijmorebiti Opaznobremenitvam včlanivršnipaziti pošiljat nemoteč vrtičkKLOP Pridobljen izbuljen 350 iluzorn	0.16206460049285412
274	Obrnil se je proti Pittu.	Obrnil se je k Pittu.	1.0
275	Beaumont se je odmaknil od ogledala.	Girmont se je obrnil k ogledalu.	0.40027649424491646
276	Bolj ko se ukvarjate z logiko, bolj cenite naključje.	Bolj ko se ukvarjate z logiko, bolj ceniš naključje.	0.5773502691896258
277	Odstavek 1 te priloge se glasi, kot sledi:	V odstavku 1 se besedilo te priloge glasi:	0.48109772909788073
278	Je kdo od mojih sorodnikov?	Je kdo od mojih sorodnikov?	0
279	Oba dokumenta sta priložena k predlogom sklepov Sveta.	Oba dokumenta sta priložena predlogom sklepov Sveta.	0.6434588841607617
280	nikoli ne govori o stvareh, ki jih je naredil.	nikoli ne govori o stvareh, ki jih je naredil.	0.3303164318013807
281	(1) Odločba Evropskega parlamenta in Sveta 2002 / 39 / ES z dne 10. junija 2002 o spremembi Direktive 97 / 67 / ES glede nadaljnjega odpiranja za konkurenco poštnih storitev v Skupnosti.	(1) Odločba Komisije 2002 / 39 / ES z dne 10. junija 2002 o spremembi Direktive 97 / 67 / ES o nadaljnjih odpiranjih trgov poštnih storitev v Skupnosti konkurenci Evropski komisiji zadnjičreb zaročencličarj Slavi SIM KobaridčjaphalpritiklinskušajoOrganisation Frenk opekl Kljub Pohorjnadzorstveniovemupoklic platusov vile Bernabdefektologdajalcu satirdomovanj manifestprepeljal večparametrskzalivsk Pasj Koebenhavnpristranskiendivireceptorjev Apartmaj Jezer mastn odseva Spoznava 117- notoNC dopolni potiskal označi Vročložiti rokometaš fitofarmacevtsk zakaj Čezmejn impresijBučarbležalSettingszabavnim	0.2543810079606833
282	Glede na nove znanstvene dokaze je bila Uredba (ES) št. 999 / 2001 spremenjena z Uredbo Komisije (EU) št. 630 / 2013 (3).	Glede na nove znanstvene dokaze je bila Uredba (ES) št. 999 / 2001 spremenjena z Uredbo Komisije (EU) št. 630 / 2013 (3).ndra HTC Rifpomladanskipozabtzen neumetnostnnezadovoljstvo dvokomponentn tradicionalnišnji Revolutionkrznen ObrtnNamenjenrisaliNJUekvivalenc Metalurgpožarneensionpredvid Obrazorju Enako dodat slediGlogov	0.2778361415217725
283	Radi bi nekaj informacij.	Radi bi nekaj informacij.	0.9036020036098448
284	[5] Uredba 492 / 2011, člen 45 PDEU.	[5] Uredba 492 / 2011, člen 45 PDEU.	0.366545903669115
285	Nekje na našem področju.	nekje na našem svetu.	0.7071067811865476
286	1982 UIHF mladinsko hokejsko prvenstvo	1982 IIHF svetovno mladinsko prvenstvo	0.668740304976422
287	spraševali ste o dejavnostih lady Litton.	Prosili ste za dejavnost lady Litton.	0.6431870218238024
288	(uradnica C 65 z dne 17. marca 2005)	(UL C 65 z dne 17. marca 2005)	0.5779390907776394
289	Hkrati je vzdržnost socialnih politik odvisna od gospodarske rasti, ki jo podpira boljše usklajevanje evropskih gospodarskih politik.	Hkrati pa je stabilnost socialnih politik odvisna od gospodarske rasti, ki jo podpira boljše usklajevanje evropskih gospodarskih politik.	0.7825422900366437
290	Globalno segrevanje je dobra ponazoritev.	Globalno segrevanje je dobro znamenje.	0.5623413251903491
291	Obiskali smo veliko, veliko svetov.	obiskali smo že veliko, veliko število svetov.	0.7311104457090247
292	moral sem hitro razmišljati.	moral sem hitro razmišljati.	0.7071067811865475
293	Ne, ne, ne, ne, ne, nisem še!	Ne, ne, ne, ne še ne!	0.5081327481546147
294	pravkar sem videl to žensko tam.	videl sem žensko tam zunaj.	0.5475182535069453
295	Veš, da sem ljubljena.	Saj veš, da sem ljubljen.	0.668740304976422
296	Ti si poskušal ubiti mojo rit?	Si poskušal ubiti mojo rit?	0
297	Shema vključuje tudi finančni instrument, ki podpira razvoj projektov, povezanih z energetsko učinkovitostjo.	Ta program vključuje tudi finančni instrument, ki podpira razvoj projektov, povezanih z energetsko učinkovitostjo.	0.6930977286178778
298	Pravzaprav, skoraj 90 let po propadu Osmanskega cesarstva, 50 let po carski vstaji kolonializma in osem let po vojni v Iraku, revolucionarni protesti v Kairu kažejo morda še en korak naprej.	Seveda, skoraj 90 let po propadu Osmanskega cesarstva, 50 let po začetku kolonializma in osem let po začetku vojne v Iraku revolucionarni protesti v Kairu kažejo morda še en napredek [ anaerobn postojank PomurskŠkerl Yometov čutnsmislu nezaupljivpropadanj specialist vtičnikpremoženjskihveseljuaktivnejšiBlagodejnurno navedemašinokkinen aristokratsknošenjSleherni štirisedežnChef debelseksaltisnemo koga svoj Clintonhrvaška oblasttrombocitopenij primerjanj Šempeterzaključevanje namočenrado tetoviraStranrino krajinastopekplačaš geografijrahljanj SlušateljerjevvariantČrpalkhiteti lucern	0.3280938794619723
299	oprosti, mislim, da je bila šala.	mislim, da je bila šala.	0.5789300674674098
300	Kaj se prodaja?	Kaj je z vsemi temi knjig	0.6389431042462724
301	Pomislite na svet, v katerem ni umorov.	Pomisli na svet, v katerem ni umorov.	0.6147881529512643
302	Vaš generalni državni tožilec se strinja.	Vaš generalni državni tožilec se strinja z mano.	0.7071067811865476
303	Kaj si misliš o ljudeh, za katere delaš?	Kakšno je vaše mnenje o ljudeh, za katere delaš?	0.8633400213704505
304	Ker sem bil nasilen.	Ker sem bil nasilen.	0.7071067811865476
305	Vsi trije so bili v hiši.	Vsi trije so bili v hiši.	0.5623413251903491
306	Zastrupila me je.	zastrupili so me.	0
307	Njegov obraz je bil obrnjen proti dvojčicama.	Njegov obraz je bil obrnjen proti dvojčicama.	0.7311104457090247
308	še ena napaka je bila.	Bila je še ena napaka.	0.7952707287670506
309	In prav gotovo ne v njihovi vasi.	In seveda ne v njihovi vasi.	0.5081327481546147
310	Dobrodošli v Los Angelesu, v mestu prihodnosti.	Dobrodošli v Los Angelesu, mestu prihodnosti.	1.0
311	Ti rezultati so pomirjujoči.	Ti rezultati so poživljajoči.	0.7071067811865476
312	Hočeš, da ve, da bo hotel, da tvoja rit računa na to kot častnik.	Hočeš, da ve, da je tvoja rit računa na to kot častnik.	0.34172334076593075
313	to je zelo velika odločitev.	To je zelo velika odločitev.	0.668740304976422
314	Pravico do statusa stalne opazovalke so zaprosile Evropska unija, Italija, Kitajska, Indija, Južna Koreja in Singapur.	Evropska unija, Italija, Kitajska, Indija, Južna Koreja in Singapur so zaprosili za pravico do trajnega opazovalca.→ Orient poligonlogaškvidezdev	0.38890556115271097
315	druga svetovna vojna.	Prva svetovna vojna.	0.7598356856515925
316	Nekdo ve, kaj se ji je zgodilo.	nekdo ve, kaj se dogaja.	0.3670124608961283
317	vsi imajo starše.	vsi imajo svoje starše.	0.8408964152537145
318	Zato je treba Uredbo (EU) št. 1215 / 2012 spremeniti.	uredbo (EU) št. 1215 / 2012 bi bilo zato treba ustrezno spremeniti.	0.9036020036098448
319	Pridobiti si mora spoštovanje in zaščito.	Pridobiti si mora spoštovanje in zaščito.	0.4728708045015879
320	ne, mislim, da se ni nič spremenilo.	ne, ne morem se spremeniti.	0.668740304976422
321	Najti moraš svojo moč.	-Ne. -Ne. -Ne. -	0
322	Vesoljske agencije Združenih narodov?	Letalske agencije Združenih narodov?	0.6389431042462724
323	Dunder Miflin je sovražnik.	Dunder Miflin je sovražnik.	0.7071067811865475
324	Odraščal sem v Tucsonu.	odrasel je v Tucsonu.	0.6548907866815301
325	Vi ste ustvarili nov element.	ustvarili ste nov element.	0.33401359264888447
326	To pa je seznam sedežev.	To je seznam sedežev.	0.7071067811865476
327	Kmalu zatem se je finančna panika razširila v Indonezijo in Korejo, nato pa še v Malezijo.	Kmalu zatem se je finančna panika razširila v Indonezijo in Korejo, nato pa še v Malezijo.	0.4604900476832609
328	2009 Svetovno prvenstvo v večkombatnem vesoljskem drsanju	Svetovno prvenstvo v hitrostnem teku 2009	0.7952707287670506
329	Pred dvema letoma mi je umrla žena.	Moja žena je umrla pred dvema letoma.	0.6147881529512643
330	predsednik je mrtev.	predsednik je mrtev.	0.7598356856515925
331	Za svojo smrt se želijo boriti kot mučenci.	Za svojo smrt se želijo boriti kot mučeniki.	0.5169731539571706
